kbjd,flux,ferr
551.874070298, 150257.609375, 10.4225511551
551.8945045, 150252.34375, 10.42258358
551.914938502, 150262.8125, 10.4226160049
551.935372603, 150209.640625, 10.4226484299
551.955806804, 150274.9375, 10.4226808548
551.976240805, 150291.65625, 10.4227132797
551.996675006, 150286.84375, 10.4227457047
552.017109106, 150287.265625, 10.4227790833
552.037543106, 150276.5625, 10.4228115082
552.057977306, 150298.734375, 10.4228439331
552.078411405, 150262.21875, 10.422876358
552.098845405, 150275.5, 10.4229106903
552.119279604, 150245.515625, 10.4229431152
552.139713703, 150246.65625, 10.4229755402
552.160147701, 150227.015625, 10.4230079651
552.1805819, 150289.0625, 10.42304039
552.201015998, 150301.140625, 10.4230728149
552.221449995, 150265.265625, 10.4230260849
552.241884193, 150260.265625, 10.4229803085
552.26231829, 150223.75, 10.4229335785
552.282752287, 150272.9375, 10.4228849411
552.303186484, 150239.390625, 10.4228382111
552.32362058, 150298.1875, 10.4227924347
552.344054776, 150260.03125, 10.4227457047
552.364488772, 150273.125, 10.4226989746
552.384922868, 150267.40625, 10.4226522446
552.405357064, 150305.640625, 10.4226055145
552.425791059, 150265.234375, 10.4225578308
552.446225154, 150244.125, 10.4225111008
552.466659349, 150280.0, 10.4224643707
552.487093343, 150256.328125, 10.4224176407
552.507527437, 150319.96875, 10.4223709106
552.527961631, 150214.703125, 10.4223241806
552.548395625, 150274.140625, 10.4222774506
552.568829718, 150206.0625, 10.4222316742
552.589263911, 150274.625, 10.4221830368
552.609698004, 150229.3125, 10.4221372604
552.630132097, 150304.453125, 10.4220905304
552.650566189, 150325.46875, 10.4220438004
552.671000281, 150282.4375, 10.4219970703
552.691434373, 150253.890625, 10.4219503403
552.711868465, 150241.609375, 10.4219245911
552.732302556, 150293.265625, 10.4219007492
552.752736647, 150332.28125, 10.4218759537
552.773170738, 150293.171875, 10.4218502045
552.793604829, 150280.3125, 10.4218254089
552.814038919, 150268.21875, 10.4218015671
552.834473009, 150292.375, 10.4217758179
552.854906999, 150278.109375, 10.421751976
552.875341188, 150254.65625, 10.4217262268
